Hotel_ID;Hotel_Location;Hotel_Location_Category;Number_Of_Rooms;Hotel_Size;Hotel_Size_Category;Product_ID;Customer_Income_Level;Income_Level_Category;Booking_Date_Adjusted;Check_In_Date_Adjusted;Check_Out_Date_Adjusted;Distribution_Channel_number;Distribution_Channel;Advance_Purchase_Adjusted;Party_Size;Party_Size_Description;Party_Size_Category;Length_of_Stay_Adjusted;Nightly_Rate_Category;Nightly_Rate;Total_Revenue;Rate_number;Rate_number_description;Room_Type_number;Room_Type_number_description;Merge_Indicator;Membership_Status;VIP_Membership_Status
1;Urban/Downtown;1;670;Big;3;5;High;3;06/04/2007;13/04/2007;14/04/2007;1;CRO/Hotel;7;1;Single;1;1;3;299;299;2;Rack Rate - Unrestricted Rate;1; Double Beds Room;1;3;1
1;Urban/Downtown;1;670;Big;3;1;High;3;01/03/2007;27/03/2007;28/03/2007;1;CRO/Hotel;26;1;Single;1;1;4;469;469;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/04/2007;10/04/2007;11/04/2007;1;CRO/Hotel;5;1;Single;1;1;4;439;439;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/04/2007;10/04/2007;11/04/2007;2;GDS;5;1;Single;1;1;4;399;399;2;Rack Rate - Unrestricted Rate;4; Special Type Room 1;1;0;0
1;Urban/Downtown;1;670;Big;3;5;High;3;03/04/2007;07/04/2007;11/04/2007;2;GDS;4;1;Single;1;4;4;349;1396;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/02/2007;22/03/2007;25/03/2007;1;CRO/Hotel;45;2;Double;2;3;4;449;1347;2;Rack Rate - Unrestricted Rate;2; King Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;12/10/2006;11/04/2007;15/04/2007;3;WEB;181;2;Double;2;4;4;396;1584;1;"Advance Purchase . Requires at least 7 day Advance Purchase; Fully Restricted Rate";1; Double Beds Room;0;1;0
1;Urban/Downtown;1;670;Big;3;1;High;3;01/03/2007;27/03/2007;28/03/2007;1;CRO/Hotel;26;1;Single;1;1;4;469;469;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;12/04/2007;11/04/2007;12/04/2007;1;CRO/Hotel;-1;1;Single;1;1;4;399;399;2;Rack Rate - Unrestricted Rate;5; Queen Rooms;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;06/02/2007;22/03/2007;28/03/2007;1;CRO/Hotel;44;1;Single;1;6;3;229;1374;2;Rack Rate - Unrestricted Rate;2; King Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;06/02/2007;24/03/2007;25/03/2007;1;CRO/Hotel;46;2;Double;2;1;3;270;270;1;"Advance Purchase . Requires at least 7 day Advance Purchase; Fully Restricted Rate";1; Double Beds Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/12/2006;24/03/2007;25/03/2007;3;WEB;109;2;Double;2;1;3;299;299;2;Rack Rate - Unrestricted Rate;1; Double Beds Room;0;1;0
1;Urban/Downtown;1;670;Big;3;1;High;3;11/04/2007;12/04/2007;13/04/2007;1;CRO/Hotel;1;1;Single;1;1;4;419;419;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;06/02/2007;24/03/2007;25/03/2007;1;CRO/Hotel;46;2;Double;2;1;3;270;270;1;"Advance Purchase . Requires at least 7 day Advance Purchase; Fully Restricted Rate";1; Double Beds Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;04/12/2006;19/03/2007;23/03/2007;1;CRO/Hotel;105;1;Single;1;4;2;103;412;2;Rack Rate - Unrestricted Rate;3; Suites;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;06/02/2007;23/03/2007;25/03/2007;1;CRO/Hotel;45;2;Double;2;2;3;299;598;2;Rack Rate - Unrestricted Rate;2; King Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;06/02/2007;18/03/2007;19/03/2007;1;CRO/Hotel;40;1;Single;1;1;3;269;269;2;Rack Rate - Unrestricted Rate;3; Suites;0;0;0
1;Urban/Downtown;1;670;Big;3;6;High;3;09/04/2007;12/04/2007;13/04/2007;1;CRO/Hotel;3;1;Single;1;1;4;399;399;2;Rack Rate - Unrestricted Rate;4; Special Type Room 1;1;0;0
1;Urban/Downtown;1;670;Big;3;3;High;3;04/04/2007;13/04/2007;15/04/2007;1;CRO/Hotel;9;2;Double;2;2;3;299;598;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;14/10/2006;24/03/2007;25/03/2007;3;WEB;161;2;Double;2;1;3;243;243;1;"Advance Purchase . Requires at least 7 day Advance Purchase; Fully Restricted Rate";2; King Room;0;3;0
1;Urban/Downtown;1;670;Big;3;1;High;3;10/12/2006;09/04/2007;14/04/2007;1;CRO/Hotel;120;1;Single;1;5;4;499;2495;2;Rack Rate - Unrestricted Rate;3; Suites;0;3;1
1;Urban/Downtown;1;670;Big;3;2;High;3;05/04/2007;09/04/2007;11/04/2007;1;CRO/Hotel;4;1;Single;1;2;4;419;838;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;06/02/2007;19/03/2007;27/03/2007;1;CRO/Hotel;41;1;Single;1;8;3;229;1832;2;Rack Rate - Unrestricted Rate;2; King Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;01/10/2006;11/03/2007;15/03/2007;1;CRO/Hotel;161;2;Double;2;4;3;299;1196;2;Rack Rate - Unrestricted Rate;2; King Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;01/10/2006;11/03/2007;15/03/2007;1;CRO/Hotel;161;2;Double;2;4;3;299;1196;2;Rack Rate - Unrestricted Rate;1; Double Beds Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;01/03/2007;27/03/2007;28/03/2007;1;CRO/Hotel;26;1;Single;1;1;4;469;469;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/04/2007;10/04/2007;11/04/2007;2;GDS;5;1;Single;1;1;4;399;399;2;Rack Rate - Unrestricted Rate;4; Special Type Room 1;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;07/02/2007;25/03/2007;27/03/2007;1;CRO/Hotel;46;1;Single;1;2;3;299;598;2;Rack Rate - Unrestricted Rate;2; King Room;0;0;0
1;Urban/Downtown;1;670;Big;3;6;High;3;03/04/2007;10/04/2007;11/04/2007;2;GDS;7;1;Single;1;1;4;399;399;2;Rack Rate - Unrestricted Rate;1; Double Beds Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/04/2007;09/04/2007;11/04/2007;2;GDS;4;1;Single;1;2;4;379;758;2;Rack Rate - Unrestricted Rate;4; Special Type Room 1;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;10/01/2007;19/03/2007;23/03/2007;1;CRO/Hotel;68;1;Single;1;4;4;399;1596;2;Rack Rate - Unrestricted Rate;2; King Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;12/04/2007;12/04/2007;13/04/2007;1;CRO/Hotel;0;1;Single;1;1;4;399;399;2;Rack Rate - Unrestricted Rate;2; King Room;0;2;1
1;Urban/Downtown;1;670;Big;3;1;High;3;07/02/2007;16/03/2007;18/03/2007;3;WEB;37;2;Double;2;2;3;299;598;2;Rack Rate - Unrestricted Rate;1; Double Beds Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;01/03/2007;23/03/2007;25/03/2007;1;CRO/Hotel;22;1;Single;1;2;4;399;798;2;Rack Rate - Unrestricted Rate;2; King Room;1;3;1
1;Urban/Downtown;1;670;Big;3;1;High;3;12/01/2007;15/03/2007;18/03/2007;3;WEB;62;2;Double;2;3;4;387;1161;1;"Advance Purchase . Requires at least 7 day Advance Purchase; Fully Restricted Rate";2; King Room;0;1;0
1;Urban/Downtown;1;670;Big;3;3;High;3;01/03/2007;17/03/2007;19/03/2007;1;CRO/Hotel;16;1;Single;1;2;3;269;538;2;Rack Rate - Unrestricted Rate;1; Double Beds Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;12/04/2007;12/04/2007;13/04/2007;1;CRO/Hotel;0;1;Single;1;1;4;309;309;2;Rack Rate - Unrestricted Rate;2; King Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;12/04/2007;12/04/2007;13/04/2007;1;CRO/Hotel;0;1;Single;1;1;4;399;399;2;Rack Rate - Unrestricted Rate;2; King Room;0;2;1
1;Urban/Downtown;1;670;Big;3;1;High;3;04/04/2007;11/04/2007;12/04/2007;2;GDS;7;1;Single;1;1;4;439;439;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;02/03/2007;17/03/2007;18/03/2007;1;CRO/Hotel;15;1;Single;1;1;3;299;299;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;08/02/2007;03/04/2007;04/04/2007;1;CRO/Hotel;54;1;Single;1;1;4;309;309;2;Rack Rate - Unrestricted Rate;2; King Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;02/03/2007;17/03/2007;18/03/2007;1;CRO/Hotel;15;1;Single;1;1;3;299;299;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;17/10/2006;22/03/2007;25/03/2007;1;CRO/Hotel;156;2;Double;2;3;4;439;1317;2;Rack Rate - Unrestricted Rate;1; Double Beds Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;08/02/2007;03/04/2007;04/04/2007;1;CRO/Hotel;54;1;Single;1;1;4;309;309;2;Rack Rate - Unrestricted Rate;1; Double Beds Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;11/01/2007;13/03/2007;18/03/2007;1;CRO/Hotel;61;1;Single;1;5;4;399;1995;2;Rack Rate - Unrestricted Rate;2; King Room;0;0;0
1;Urban/Downtown;1;670;Big;3;7;High;3;06/04/2007;12/04/2007;13/04/2007;3;WEB;6;1;Single;1;1;4;599;599;2;Rack Rate - Unrestricted Rate;3; Suites;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;11/04/2007;11/04/2007;12/04/2007;2;GDS;0;1;Single;1;1;4;439;439;2;Rack Rate - Unrestricted Rate;2; King Room;0;0;0
1;Urban/Downtown;1;670;Big;3;21;High;3;02/03/2007;30/03/2007;05/04/2007;3;WEB;28;2;Double;2;6;4;519;3114;2;Rack Rate - Unrestricted Rate;3; Suites;1;2;1
1;Urban/Downtown;1;670;Big;3;1;High;3;13/04/2007;12/04/2007;13/04/2007;1;CRO/Hotel;-1;1;Single;1;1;4;399;399;2;Rack Rate - Unrestricted Rate;1; Double Beds Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;09/04/2007;10/04/2007;12/04/2007;2;GDS;1;1;Single;1;2;4;439;878;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;02/03/2007;15/03/2007;18/03/2007;1;CRO/Hotel;13;1;Single;1;3;4;429;1287;2;Rack Rate - Unrestricted Rate;2; King Room;1;1;0
1;Urban/Downtown;1;670;Big;3;1;High;3;02/03/2007;15/03/2007;18/03/2007;1;CRO/Hotel;13;1;Single;1;3;4;429;1287;2;Rack Rate - Unrestricted Rate;2; King Room;1;1;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/04/2007;11/04/2007;12/04/2007;2;GDS;6;1;Single;1;1;4;439;439;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;09/04/2007;10/04/2007;12/04/2007;2;GDS;1;1;Single;1;2;4;439;878;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/04/2007;11/04/2007;12/04/2007;2;GDS;6;1;Single;1;1;4;439;439;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;5;High;3;02/04/2007;10/04/2007;12/04/2007;2;GDS;8;1;Single;1;2;4;439;878;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;06/04/2007;11/04/2007;12/04/2007;2;GDS;5;1;Single;1;1;4;499;499;2;Rack Rate - Unrestricted Rate;3; Suites;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;02/04/2007;11/04/2007;12/04/2007;2;GDS;9;1;Single;1;1;4;439;439;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;10/04/2007;13/04/2007;14/04/2007;1;CRO/Hotel;3;2;Double;2;1;3;279;279;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;5;High;3;02/03/2007;01/04/2007;03/04/2007;3;WEB;30;2;Double;2;2;4;315;630;1;"Advance Purchase . Requires at least 7 day Advance Purchase; Fully Restricted Rate";1; Double Beds Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/04/2007;11/04/2007;12/04/2007;2;GDS;6;1;Single;1;1;4;439;439;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;08/02/2007;23/03/2007;25/03/2007;1;CRO/Hotel;43;2;Double;2;2;3;270;540;1;"Advance Purchase . Requires at least 7 day Advance Purchase; Fully Restricted Rate";2; King Room;0;0;0
1;Urban/Downtown;1;670;Big;3;6;High;3;09/04/2007;13/04/2007;15/04/2007;2;GDS;4;1;Single;1;2;3;279;558;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;02/03/2007;13/03/2007;14/03/2007;1;CRO/Hotel;11;1;Single;1;1;4;429;429;2;Rack Rate - Unrestricted Rate;2; King Room;1;1;0
1;Urban/Downtown;1;670;Big;3;1;High;3;09/02/2007;22/03/2007;25/03/2007;1;CRO/Hotel;41;2;Double;2;3;3;299;897;2;Rack Rate - Unrestricted Rate;1; Double Beds Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;02/03/2007;13/03/2007;14/03/2007;1;CRO/Hotel;11;2;Double;2;1;4;429;429;2;Rack Rate - Unrestricted Rate;2; King Room;1;1;0
1;Urban/Downtown;1;670;Big;3;1;High;3;02/03/2007;13/03/2007;14/03/2007;1;CRO/Hotel;11;2;Double;2;1;4;429;429;2;Rack Rate - Unrestricted Rate;2; King Room;1;1;0
1;Urban/Downtown;1;670;Big;3;3;High;3;02/03/2007;15/03/2007;18/03/2007;1;CRO/Hotel;13;2;Double;2;3;4;429;1287;2;Rack Rate - Unrestricted Rate;1; Double Beds Room;1;1;0
1;Urban/Downtown;1;670;Big;3;1;High;3;02/03/2007;17/03/2007;18/03/2007;1;CRO/Hotel;15;1;Single;1;1;3;299;299;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;6;High;3;03/04/2007;12/04/2007;13/04/2007;2;GDS;9;1;Single;1;1;4;399;399;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/04/2007;11/04/2007;12/04/2007;2;GDS;6;1;Single;1;1;4;439;439;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;10;High;3;09/04/2007;09/04/2007;12/04/2007;1;CRO/Hotel;0;1;Single;1;3;4;385;1155;2;Rack Rate - Unrestricted Rate;4; Special Type Room 1;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;09/04/2007;11/04/2007;12/04/2007;2;GDS;2;1;Single;1;1;4;599;599;2;Rack Rate - Unrestricted Rate;3; Suites;1;0;0
1;Urban/Downtown;1;670;Big;3;5;High;3;08/04/2007;13/04/2007;15/04/2007;3;WEB;5;5;Quad;4;2;4;349;698;2;Rack Rate - Unrestricted Rate;1; Double Beds Room;1;0;0
1;Urban/Downtown;1;670;Big;3;3;High;3;04/04/2007;13/04/2007;15/04/2007;1;CRO/Hotel;9;1;Single;1;2;3;299;598;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;02/03/2007;24/03/2007;25/03/2007;1;CRO/Hotel;22;2;Double;2;1;4;369;369;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/04/2007;11/04/2007;12/04/2007;2;GDS;6;1;Single;1;1;4;439;439;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;2;High;3;09/04/2007;12/04/2007;13/04/2007;3;WEB;3;1;Single;1;1;4;399;399;2;Rack Rate - Unrestricted Rate;5; Queen Rooms;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/04/2007;11/04/2007;12/04/2007;2;GDS;6;1;Single;1;1;4;439;439;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;5;High;3;11/04/2007;15/04/2007;17/04/2007;2;GDS;4;1;Single;1;2;4;369;738;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;28/12/2006;23/03/2007;25/03/2007;3;WEB;85;1;Single;1;2;4;333;666;1;"Advance Purchase . Requires at least 7 day Advance Purchase; Fully Restricted Rate";3; Suites;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;09/01/2007;20/03/2007;23/03/2007;1;CRO/Hotel;70;1;Single;1;3;4;629;1887;2;Rack Rate - Unrestricted Rate;3; Suites;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;11/01/2007;08/03/2007;13/03/2007;1;CRO/Hotel;56;1;Single;1;5;2;99;495;2;Rack Rate - Unrestricted Rate;4; Special Type Room 1;0;0;0
1;Urban/Downtown;1;670;Big;3;6;High;3;02/04/2007;10/04/2007;12/04/2007;2;GDS;8;1;Single;1;2;4;399;798;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/04/2007;09/04/2007;12/04/2007;2;GDS;4;1;Single;1;3;4;386;1158;2;Rack Rate - Unrestricted Rate;4; Special Type Room 1;1;2;1
1;Urban/Downtown;1;670;Big;3;1;High;3;10/04/2007;12/04/2007;13/04/2007;2;GDS;2;1;Single;1;1;4;399;399;2;Rack Rate - Unrestricted Rate;4; Special Type Room 1;1;0;0
1;Urban/Downtown;1;670;Big;3;2;High;3;11/04/2007;12/04/2007;13/04/2007;3;WEB;1;1;Single;1;1;4;379;379;2;Rack Rate - Unrestricted Rate;4; Special Type Room 1;1;0;0
1;Urban/Downtown;1;670;Big;3;4;High;3;03/04/2007;13/04/2007;15/04/2007;3;WEB;10;2;Double;2;2;4;399;798;2;Rack Rate - Unrestricted Rate;1; Double Beds Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;09/02/2007;23/03/2007;25/03/2007;3;WEB;42;3;Triple;3;2;3;270;540;1;"Advance Purchase . Requires at least 7 day Advance Purchase; Fully Restricted Rate";1; Double Beds Room;0;0;0
